ACCURACY,FNR,PRECISION,RECALL,F1Score
0.9211721,0.3024704,0.9122669,0.6975296,0.7905759
0.9212409,0.3059943,0.9128929,0.6940057,0.7885412
0.9211281,0.3097199,0.9081550,0.6902801,0.7843688
0.9220696,0.3022403,0.9104438,0.6977597,0.7900380
0.9216929,0.3041725,0.9154071,0.6958275,0.7906551
0.9205547,0.3070866,0.9110698,0.6929134,0.7871560
0.9217607,0.3042596,0.9124767,0.6957404,0.7895040
0.9198594,0.3071199,0.9094509,0.6928801,0.7865297
0.9191079,0.3080929,0.9084692,0.6919071,0.7855356
0.9220227,0.2979984,0.9061429,0.7020016,0.7911152